HF_FNCLTY_MTRAL_RCOGN_NO,DAY_INTK_HIGHLIMIT,DAY_INTK_LOWLIMIT,WT_UNIT,RAWMTRL_NM,IFTKN_ATNT_MATR_CN,PRIMARY_FNCLTY
제2021-1호,8 (g),8 (g),g,실크단백질 산가수분해물(Sil-Q1)(기능성원료인정제2021-1호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 (4) 간, 신장 기능 이상자는 섭취에 주의",(국문) 면역기능 증진에 도움을 줄 수 있음 (영문) May help to improve immune function
제2021-20호,686 (mg/일),686 (mg/일),mg/일,청호추출분말(리베라템)(제2021-20호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 삼가
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 간 건강에 도움을 줄 수 있음
(영문) May help to protect liver"
제2021-21호,12 (mg/일),12 (mg/일),mg/일,루테인지아잔틴추출복합물(제2021-21호),"(1) 영‧유아, 어린이, 임산부 및 수유부는 섭취에 주의
(2) 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 흡연자는 섭취 시 전문가와 상담할 것","(국문) 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음
(영문) May support eye health by maintaining the density of macular pigments which can be affected by aging"
제2021-23호,"4,000,000,000 (CFU/일)","4,000,000,000 (CFU/일)",CFU/일,Lactiplantibacillus plantarum Q180(제2021-23호),"(1) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(2) 특정 질환(알레르기 체질, 단장증후군 등)이 있는 분은 섭취에 주의
(3) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(4) 어린이가 함부로 섭취하지 않도록 일일 섭취량 방법을 지도할 것
(5) 이상 사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 식후 혈중 중성지방 개선에 도움을 줄 수 있음
(영문) May help to maintain healthy blood triglyceride level"
제2021-24호,300 (mg),300 (mg),mg,병풀추출분말(기능성원료인정제2021-24호),"(1) 영·유아, 어린이, 청소년, 임산부 및 수유부, 임신을 계획하고 있는 자는 섭취하지 말 것 (2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 (4) 의약품(중추신경억제제 등)을 복용하시는 분은 섭취 전 전문의와 상담할 것",(국문) 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음 (영문) May support eye health by maintaining the density of macular pigments which can be affected by aging
제2021-2호,600 (mg),600 (mg),mg,복분자 추출물(RE-20)(기능성원료인정제2021-2호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 혈중 콜레스테롤 개선에 도움을 줄 수 있음 (영문) May help to improve blood cholesterol
제2021-3호,2 (g),1 (g),g,사군자추출분말(기능성원료인정제2021-3호),(1) 성인남성만 섭취할 것 (2) 메스꺼움 등 소화계통의 불편함과 설사를 유발할 수 있음 (3) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 (5) 뜨거운 물과 섭취하지 말 것,(국문) 전립선 건강의 유지에 도움을 줄 수 있음 (영문) May help to maintain prostate health
제2021-4호,1 (g),1 (g),g,발효율피추출분말(기능성원료인정제2021-4호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 체지방 감소에 도움을 줄 수 있음 (영문) May help to improve body fat
제2021-5호,200 (mg/일),20 (mg/일),mg/일,B.breve IDCC 4401(BBR4401) 열처리배양건조물(기능성원료인정제2021-5호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 (4) 질환이 있거나 의약품 복용 시 전문가와 상담할 것",(국문) 혈중 콜레스테롤 개선에 도움을 줄 수 있음 (영문) May help to reduce blood cholesterol levels
제2021-5호,200 (mg/일),20 (mg/일),mg/일,B. breve IDCC 4401 열처리배양건조물(BBR®)(제2021-5호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 질환이 있거나 의약품 복용 시 전문가와 상담할 것","(국문) 혈중 콜레스테롤 개선에 도움을 줄 수 있음
(영문) May help to reduce blood cholesterol levels"
제2021-6호,600 (mg),600 (mg),mg,풋사과추출물 애플페논(Applephenon)(기능성원료인정제2021-6호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 특정 질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 체지방 감소에 도움을 줄 수 있음 (영문) May help to reduce body fat
제2021-7호,400 (mg),400 (mg),mg,모로오렌지추출분말(Morosil®)(기능성원료인정제2021-7호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 특정 질환(알러지 체질 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 (4) 식사조절, 운동을 병행하는 것이 체지방 감소에 효과적임",(국문) 체지방 감소에 도움을 줄 수 있음 (영문) May help to reduce body fat
제2021-9호,400 (mg),200 (mg),mg,보스웰리아추출물등 복합물(Flexir)(기능성원료인정제2021-9호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 (4) 질환이 있거나 의약품 복용 시 전문가와 상담할 것 (5) 제안된 섭취량 이상 섭취 시 소화불량, 위장장애, 메스꺼움, 위산 역류 등이 있을 수 있음",(국문) 관절 및 연골 건강에 도움을 줄 수 있음 (영문) May help to maintain healthy joint and cartilage
제2022-12호,500 (mg),500 (mg),mg,가자추출물(Ayuflex®)(기능성원료인정제2022-12호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 관절 및 연골 건강에 도움을 줄 수 있음 (영문) May help to maintain joint and cartilage health
제2022-13호,500 (mg/일),500 (mg/일),mg/일,레몬버베나추출물 등 복합물(티에뜨레Ⓡ)(제2022-13호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 당뇨, 혈압 등의 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat"
제2022-15호,"1,200,000,000 (CFU)","1,200,000,000 (CFU)",CFU,유산균복합물(AB-LIFE®)(기능성원료인정제2022-15호),"(1) 질환이 있거나 의약품 복용 시 전문가와 상담할 것 (2) 특정질환(알레르기 체질, 단장증후군 등)이 있는 분은 섭취에 주의할 것 (3) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것 (4) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것 (5) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 (6) 과다섭취에 주의할 것",(국문) 혈중 콜레스테롤 개선에 도움을 줄 수 있음 (영문) May help to reduce blood cholesterol levels
제2022-17호,400 (mg/일),400 (mg/일),mg/일,보스웰리아추출물(SERRATRIN)(기능성 원료 인정서 제2022-17호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 관절 및 연골 건강에 도움을 줄 수 있음
(영문) May help to maintain joint and cartilage health"
제2022-18호,600 (mg/일),600 (mg/일),mg/일,감잎주정추출분말(제2022-18호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 건조한 눈을 개선하여 눈건강에 도움을 줄 수 있음
(영문) May help to maintain eyes healthy by relieving dryness"
제2022-19호,375 (mg),375 (mg),mg,L-글루탐산발효 가바분말(기능성원료인정제2022-19호),"(1) 영유아, 임산부, 수유부 및 특정 질환자는 섭취에 주의할 것 (2) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 (3) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (4) 의약품(혈압약, 항우울제 등) 복용 시 섭취에 주의할 것",(국문) 수면의 질 개선에 도움을 줄 수 있음 (영문) May help to improve sleep quality
제2022-21호,"4,000,000,000 (CFU/)","4,000,000,000 (CFU/)",CFU/,Lactiplantibacillus plantarum HAC01 프로바이오틱스(제2022-21호),"(1) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(2) 특정질환(알레르기 체질, 단장증후군 등)이 있는 분은 섭취에 주의
(3) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(4) 어린이가 함부로 섭취하지 않도록 일일 섭취량 방법을 지도할 것
(5) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 식후 혈당 상승 억제에 도움을 줄 수 있음
(영문) May help to suppress the increase of blood glucose level after meals"
제2022-23호,500 (mg),500 (mg),mg,레몬밤민들레추출복합물(LD100)(기능성원료제2022-23호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 의약품(수면유도제, 갑상선호르몬제, 중추신경억제제)을 복용시 섭취 전 전문의와 상담할 것","(국문) 간 건강에 도움을 줄 수 있음 
(영문) May help to protect liver"
제2022-24호,480 (mg/일),480 (mg/일),mg/일,증숙생강추출분말(GGE03)(제2022-24호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 혈액응고 관련 의약품을 복용하거나 질병이 있는 경우 섭취 전 전문가와 상담할 것","(국문) 위 점막을 보호하여 위 건강에 도움을 줄 수 있음
(영문) May help to maintain healthy stomach by protecting gastric mucosa"
제2022-25호,500 (mg/일),500 (mg/일),mg/일,전호잎추출물(제2022-25호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 관절건강에 도움을 줄 수 있음
(영문) May help to maintain healthy joint"
제2022-26호,"1,600 (mg/일)","1,600 (mg/일)",mg/일,산수유추출물등복합물(리베스틴Ⓡ)(제2022-26호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 소화계통의 불편함을 유발할 수 있음","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat"
제2022-27호,120 (mg/일),120 (mg/일),mg/일,아쉬아간다 추출물(ShodenⓇ)(제2022-27호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 졸음을 유발하는 약물(신경 안정제 등)과 병용섭취하지 말 것","(국문) 수면건강에 도움을 줄 수 있음
(영문) May help to improve sleep quality"
제2022-28호,4 (mg/일),4 (mg/일),mg/일,루바브뿌리추출물(제2022-28호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것
(2) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의할 것
(3) 메스꺼움 등 소화계통의 불편함과 설사를 유발할 수 있음
(4) 알레르기 체질이거나 특정질환이 있는 사람은 섭취 전      전문가와 상담할 것
(5) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 갱년기 여성 건강에 도움을 줄 수 있음
(영문) May help to maintain female health in menopause"
제2022-29호,12 (mg/일),12 (mg/일),mg/일,루테인지아잔틴추출복합물(기능성원료인정제2022-29호),"(1) 영‧유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것
(2) 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 흡연자는 섭취 시 전문가와 상담할 것","(국문) 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음
(영문) May support eye health by maintaining the density of macular pigments which can be affected by aging"
제2022-2호,600 (mg),600 (mg),mg,타히보 추출물 (TabetriⓇ)(기능성원료인정제2022-2호),"(1) 영‧유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것 (2)특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 (4) 항응고제 또는 면역억제제를 복용하는 분은 섭취에 주의할 것",(국문) 관절 및 연골 건강 개선에 도움을 줄 수 있음 (영문) May help to maintain healthy joint and cartilage
제2022-30호,"1,200 (mg/일)",600 (mg/일),mg/일,흰목이버섯효소분해추출물(Neu learn)(제2022-30호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 노화로 인해 감소된 인지기능 개선에 도움을 줄 수 있음
(영문) May help to improve cognitive function affected by  aging"
제2022-32호,"10,000,000,000 (CFU/일)","10,000,000,000 (CFU/일)",CFU/일,Lactiplantibacillus plantarum TWK10 프로바이오틱스(제2022-32호),"(1) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(2) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(3) 특정질환(알레르기 체질, 단장증후군 등)이 있는 분은 섭취에 주의
(4) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(5) 어린이가 함부로 섭취하지 않도록 일일 섭취량 방법을 지도할 것","(국문) 운동수행능력 향상에 도움을 줄 수 있음
(영문) May help to improve endurance of exercise performance capability"
제2022-33호,"1,000 (mg/일)","1,000 (mg/일)",mg/일,홍삼오일(KGC11o)(제2022-33호),"(1) 성인 남성만 섭취할 것
(2) 심혈관계 질환이 있거나 의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의할 것
(3) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 전립선 건강의 유지에 도움을 줄 수 있음
(영문) May help to maintain healthy prostate"
제2022-34호,900 (mg/일),900 (mg/일),mg/일,열처리녹차추출물(제2022-34호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(2) 간 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(3) 카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음
(4) 식사 후 섭취할 것
(5) 카페인을 함유한 식품의 섭취에 주의할 것
(6) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(7) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 기억력 개선에 도움을 줄 수 있음
(영문) May help to improve memory"
제2022-35호,"10,000,000,000 (CFU/일)","10,000,000,000 (CFU/일)",CFU/일,Weissella cibaria JW15 프로바이오틱스(제2022-35호),"(1) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(2) 특정질환(알레르기 체질, 단장증후군, 유당불내증 등)이 있는 분은 섭취에 주의할 것
(3) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것
(4) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(5) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
※ 유산균의 정성적 품질관리를 위해 원 균주(전장유전체 정보 등)를 주기적으로 관리하여야 하며, 식약처 요청 시 관련자료를 제출하여야 함","(국문) 면역 기능에 도움을 줄 수 있음
(영문) May help immune function"
제2022-36호,700 (mg/일),700 (mg/일),mg/일,해국추출물(제2022-36호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat"
제2022-37호,300 (mg/일),300 (mg/일),mg/일,천심련추출물(ParActinⓇ)(제2022-37호),"(1) 영·유아, 어린이, 청소년, 임산부 및 수유부, 임신을 계획하고 있는 자는 섭취하지 말 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 의약품을 복용하시는 분은 섭취 전 전문의와 상담할 것","(국문) 관절 건강에 도움을 줄 수 있음
(영문) May help to maintain healthy joint"
제2022-38호,100 (mg/일),100 (mg/일),mg/일,가다랑어 엘라스틴 펩타이드(VGPG Elastin®)(제2022-38호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것
(2) 특정 질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) ① 피부보습에 도움을 줄 수 있음
          ② 자외선에 의한 피부손상으로부터 피부건강 유지에 도움을 줄 수 있음
(영문) ① May help to maintain skin moisturizing
          ② May help to maintain skin health from skin damage by UV radiation"
제2022-39호,462 (mg/일),462 (mg/일),mg/일,크릴오일등복합물(FlexPro MDⓇ)(제2022-39호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(5) 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음
(6) β-카로틴의 흡수를 저해할 수 있음","(국문) 관절건강에 도움을 줄 수 있음
(영문) May help to maintain healthy joint"
제2022-3호,300 (mg),300 (mg),mg,천심련추출물(ParActinⓇ)(기능성원료인정제2022-3호),"(1) 영·유아, 어린이, 청소년, 임산부 및 수유부, 임신을 계획하고 있는 자는 섭취하지 말 것 (2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 (4) 의약품을 복용하시는 분은 섭취 전 전문의와 상담할 것",(국문) 관절 건강에 도움을 줄 수 있음 (영문) May help to maintain healthy joint
제2022-40호,"1,250 (mg/일)","1,250 (mg/일)",mg/일,비수리추출분말(제2022-40호),"(1) 성인 남성만 섭취할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 갱년기 남성건강에 도움을 줄 수 있음
(영문) May help to maintain male health in menopause"
제2022-41호,2 (g/일),2 (g/일),g/일,크릴오일(FJH-KO)(제2022-41호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 질환이 있거나 의약품 복용 시 전문가와 상담할 것","(국문)․관절건강에 도움을 줄 수 있음
      ․혈소판 응집억제를 통한 혈행개선에 도움을 줄 수 있음
(영문)․May help to maintain healthy joint
      ․May help to improve blood circulation by inhibiting platelet aggregation"
제2022-42호,300 (mg/일),300 (mg/일),mg/일,현삼추출물(제2022-42호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 천연물 소재의 추출물 섭취 시 있을 수 있는 경미한 소화불량이 있을 수 있음","(국문) 기억력 개선에 도움을 줄 수 있음
(영문) May help to improve memory"
제2022-43호,800 (mg/일),800 (mg/일),mg/일,Lactiplantibacillus plantarum C29 프로바이오틱스와 발효대두분말의 복합물(DW2009)(제2022-43호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것
(2) 특정질환(알레르기 체질, 단장증후군 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(5) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것","(국문) 노화로 저하된 인지기능 개선에 도움을 줄 수 있음
(영문) May help to improve cognitive function affected by aging"
제2022-45호,"2,000,000,000 (CFU/일)","2,000,000,000 (CFU/일)",CFU/일,Bacillus coagulans Unique IS-2 프로바이오틱스(제2022-45호),"(1) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(2) 특정질환(알레르기 체질, 단장증후군 등)이 있는 분은 섭취에 주의
(3) 영·유아, 임산부 및 수유부는 섭취에 주의
(4) 어린이가 함부로 섭취하지 않도록 일일 섭취량 방법을 지도할 것
(5) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 배변활동 원활에 도움을 줄 수 있음
(영문) May help to improve bowel movements"
제2022-5호,2 (g),2 (g),g,저분자콜라겐펩타이드SH(기능성원료인정제2022-5호),"(1) 영‧유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것 (2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 피부 보습에 도움을 줄 수 있음 (영문) May help to moisturize (dry) skin
제2022-6호,2 (g),2 (g),g,저분자콜라겐펩타이드GT(기능성원료인정제2022-6호),"(1) 영‧유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것 (2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 피부 보습에 도움을 줄 수 있음 (영문) May help to moisturize (dry) skin
제2022-7호,750 (mg/일),750 (mg/일),mg/일,사삼추출물(제2022-7호),"(1) 영‧유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 식사조절, 운동을 병행하는 것이 체지방 감소에 효과적임","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat"
제2022-8호,1 (g/일),1 (g/일),g/일,발아발효콩추출물(제2022-8호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 삼가야 함
(2) 특정 질환(알레르기 체질 등)이 있는 사람은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 에스트로겐 호르몬 또는 대두 이소플라본에 민감한 사람은 섭취에 주의
(5) 메스꺼움 등 소화계통의 불편함을 유발할 수 있음","(국문) 갱년기 여성 건강에 도움을 줄 수 있음
(영문) May help to maintain female health in menopause"
제2023-10호,1 (g/일),1 (g/일),g/일,저분자콜라겐펩타이드 AG(제2023-10호),"(1) 영‧유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","① 피부 보습에 도움을 줄 수 있음  : 저분자콜라겐펩타이드 AG로서 1 g/일
② 자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음 : 저분자콜라겐펩타이드 AG로서 1 g/일"
제2023-13호,2 (g/일),1 (g/일),g/일,크릴오일(SuperbaTM Boost)(제2023-13호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것 
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 의약품(항응고제, 항혈소판제 등) 복용 시 전문가와 상담할 것","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat"
제2023-14호,"1,000 (mg/일)","4,000 (mg/일)",mg/일,저분자콜라겐펩타이드(제2023-14호),"(1) 영‧유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) ① 피부 보습에 도움을 줄 수 있음
       ② 자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음
        ③ 관절 건강에 도움을 줄 수 있음
(영문) ① May help to moisturize (dry) skin
        ② May help to maintain good skin health by protecting against damage from UV exposure
        ③ May help to maintain healthy joint"
제2023-16호,"1,000 (mg/일)",500 (mg/일),mg/일,녹용당귀등 복합추출물(제2023-16호),"(1) 성인 남성만 섭취할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 소화불량, 속쓰림 등이 나타날 수 있음
(5) 혈액응고방지제 또는 혈당강하제를 복용하는 분은 섭취에 주의할 것","(국문) 전립선 건강의 유지에 도움을 줄 수 있음
(영문) May help to maintain healthy prostate"
제2023-17호,250 (mg),250 (mg),mg,와사비잎추출물(NCWL01)(제2023-17호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat"
제2023-18호,250 (mg),250 (mg),mg,와사비잎추출물(NCWL01)(제2023-18호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat"
제2023-19호,"10,000,000,000 (CFU/일)","10,000,000,000 (CFU/일)",CFU/일,L. plantarum LC27과 B. longum LC67의 프로바이오틱스 복합물(NVP-1702)(제2023-19호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질, 단장증후군 등)이 있는 분은 섭취에 주의할 것 
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(5) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것","(국문) 비알콜성 간손상으로부터 간 건강에 도움을 줄 수 있음
(영문) May help to liver health by non-alcoholic liver injury"
